,oldID-poseID,Class,if_X_fa_atr,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_sc,interface_delta_X,total_score_X
70,SUBS126-0963,0,-10.96111275570074,-0.7968479242318415,0.0,1.083919042658454,3.86006480263477,0.0,-1.68623304059912,-8.500209875238397,-36.0
71,SUBS126-0717,0,-14.2234180712996,-0.2471549768932709,0.0,2.266824124621781,4.305197568494623,0.0,-0.9347716451398648,-8.833323000216296,-38.0
72,SUBS126-0942,0,-12.59882474536244,-0.2056117729695507,0.0,0.5551540238025154,3.636228081414356,-0.8301998551528449,-0.1226289099798677,-9.565883178247988,-37.0
73,SUBS126-0832,0,-23.84569963656941,-0.6754132703606547,0.0,5.322526927960007,14.46380834786114,-0.0224771589896263,-2.932403351508221,-7.689658141606742,-41.0
74,SUBS126-0356,0,-13.80144480001873,-0.5294772965871971,0.0,1.788582699812741,5.796856310454495,0.0,-1.536252419654906,-8.281735505993765,-41.0
75,SUBS126-0900,0,-14.38859133605511,-0.3040041455633581,0.0,0.8597501873226066,7.425296701692787,0.0,-1.839150079979021,-8.24669867258217,-41.0
76,SUBS126-0274,0,-12.90812761900634,-1.807390006035828,0.0,0.8499812098664734,7.591148873636484,0.0,-2.959771116748011,-9.23415865828747,-40.0
77,SUBS126-0231,0,-16.99638489130739,0.0925752558249473,0.0,3.335068887182842,4.945892937128428,0.0,-0.1516751927914839,-8.774523003962713,-42.0
78,SUBS126-0198,0,-24.50070712905836,-1.075214500425318,0.0,7.678150418222913,10.53692428531713,0.0,-2.28102898682922,-9.641875912772775,-42.0
79,SUBS126-0960,0,-12.38887231444787,-0.2546109829735224,0.0,0.9747071140123807,4.674596842887513,-0.1042540887652059,-1.211928443834896,-8.310361873121565,-37.0
80,SUBS126-0829,0,-13.75522733946746,-0.373026870033051,0.0,2.159528978176059,4.77961111686327,0.0,-1.581267127749806,-8.770381242210988,-37.0
81,SUBS126-0478,0,-11.04281715986326,-1.377906794568603,0.0,1.066625310274412,5.82830230205609,0.0,-3.032254447631821,-8.558050789732988,-39.0
82,SUBS126-0728,0,-15.81238926868136,-0.4547747556054776,0.0,2.240283604050183,4.874766683900998,0.0,-2.940117943222239,-12.09223167955815,-39.0
83,SUBS126-0818,0,-18.39964157153081,-0.6776021778561028,0.0,3.18134089009709,6.917848888706248,0.0,-2.794539720017358,-11.77259369060084,-40.0
84,SUBS126-0550,0,-13.49410445142894,-1.331330989239057,0.0,2.659804848307613,6.801982666291587,0.0,-2.734030273812659,-8.097678199881557,-41.0
85,SUBS126-0173,0,-14.5679018617313,-0.2000573371974622,0.0,2.596451553902261,5.359821700347038,0.0,-1.540544236409889,-8.352230181088999,-42.0
