oldID-poseID,Class,if_X_fa_atr,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_sc,interface_delta_X,total_score_X
SUBS126-0576,0,-7.942685617584721,-2.057305369195884,0.0,0.8263620588181312,5.576995419846571,0.0,-3.537078109415374,-7.133711617531617,-39.0
SUBS126-0274,0,-14.99153496841536,-0.7034389547085778,-0.0307754113438704,1.300655717804057,9.888075684440809,0.0,-2.511786659356912,-7.04880459157971,-37.0
SUBS126-0289,0,-19.04131525063022,-1.789423708655254,0.171809748244732,3.462835967535602,11.04047957405846,0.0,-5.741601657482488,-11.89721532692943,-38.0
SUBS126-0360,0,-18.96148380841769,-1.503108676448555,0.0,3.580101314440708,11.14944646397107,0.0,-5.102495195303207,-10.83753990175728,-39.0
SUBS126-0792,0,-13.29888077329633,-1.657120344955246,0.0,1.155337379714501,10.78606460949872,0.0,-3.966235852703821,-6.980834981742191,-35.0
SUBS126-0148,0,-23.20720456090057,-0.8180455103040271,-0.0264008835403558,6.011095521497146,11.20058010967737,0.0,-1.759657917010048,-8.59963324058026,-41.0
SUBS126-0552,0,-12.57641406637013,-1.381096447467782,0.0,0.8971694035389192,7.501363118238623,0.0,-3.027866800324941,-8.586844792385364,-41.0
SUBS126-0202,0,-9.225315665633024,-0.1143651385487749,-0.3365258888379572,0.7460470077822265,1.672975750736577,-0.0015987027520132,-0.0405079897464709,-7.299290626999891,-38.0
SUBS126-0378,0,-12.85082652119927,-1.37219977155929,0.0,1.682950592459838,8.815354620873949,0.0,-4.094573298018525,-7.819294377443384,-40.0
SUBS126-0486,0,-7.778524416002984,-1.230699802515729,0.0,0.7202141260903773,4.172834506128993,0.0,-3.191738742324573,-7.307914328623838,-29.0
SUBS126-0433,0,-14.46645066903584,-2.10293478523896,0.0,1.286842916527076,11.53167676070248,-0.0042446186192364,-3.683883740267562,-7.438994135932035,-34.0
SUBS126-0203,0,-11.10518122684334,-1.977440805543246,0.0,0.8847669528543975,7.861522209544637,0.0,-3.410733017536705,-7.747065887524514,-35.0
SUBS126-0767,0,-8.865677457518178,-0.0880646684740327,-0.3937813889663971,0.468498326664303,1.725963286998422,0.0,0.0,-7.153061901295587,-36.0
SUBS126-0669,0,-20.08736972606312,-1.285095907341569,0.0,4.117792881701371,12.29969208452471,0.0,-3.148576585852525,-8.103557253031568,-38.0
SUBS126-0383,0,-10.48468803378346,-1.592138160926002,0.0,1.145786382539609,7.667991170803315,0.0,-4.082394188936017,-7.345442830303,-40.0
SUBS126-0250,0,-9.694761438007845,-1.983043266121336,0.0,0.9511733879476651,6.784812524187464,0.0,-3.262698188102141,-7.204516980096287,-39.0
SUBS126-0263,0,-21.52547344363157,-1.394532175715249,0.0,7.947294551316645,10.10506554418912,0.0,-5.140685219726094,-10.00833074356706,-40.0
SUBS126-0468,0,-21.39375194716231,-0.0702243346241709,-0.0322700297151186,3.509896352117221,13.25074082959859,0.0,-2.642635246316057,-7.378244376101748,-40.0
SUBS126-0066,0,-14.31860734640577,-0.803131113658552,0.0,1.735887236146982,8.606074582781593,0.0,-3.293442190922703,-8.073218832058274,-38.0
SUBS126-0040,0,-10.36893161412118,-2.779676948644139,0.0,0.5729099766251239,8.780788297895196,0.0,-5.83084153112874,-9.625751819373365,-39.0
SUBS126-0528,0,-19.45633350467288,-1.524653196016913,-0.250832143053151,2.897415812338295,11.98418335450351,0.0,-5.913677857187416,-12.26389753408876,-38.0
SUBS126-0183,0,-12.27194960522538,-0.803580466025989,-0.2609870617719707,1.106336861880618,6.676686376085217,0.0,-2.422214119270227,-7.975708014327665,-34.0
SUBS126-0679,0,-9.446317524361438,-0.3014768606959808,0.0,0.8206007292177674,2.831774840194703,0.0,-0.869704201532359,-6.965123017177575,-38.0
